foodName,display_name,food_category,portion_unit_name,portion_gram_weight,source_count,Energy,Energy,Energy,Energy,Carbohydrate,"Sugars, Total",Fiber,Total Sugars,Fiber (AOAC 2011.25),Total fat,Cholesterol,"Fatty acids, total saturated",DHA,EPA,ALA,Protein,"Vitamin A, RAE",Vitamin E,Vitamin D (D2 + D3),Vitamin E,Vitamin C,Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total",Vitamin B-12,Choline,Vitamin K2 MK-4,Vitamin K1,Vitamin E,Vitamin A,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Iodine,Manganese,Molybdenum,Selenium
abalone,Abalone,Other,,,1,177.0,177.0,177.0,177.0,7.46,,0.0,0.0,,6.12,106.0,0.877,0.0,0.061,,21.24,2.0,5.95,0.0,5.95,2.0,0.201,0.118,1.77,,0.168,5.0,0.77,80.7,,33.8,5.95,,39.0,3.97,60.0,236.0,310.0,574.0,1.02,0.243,,,,55.6
abalone_mushroom,Abalone Mushroom,Other,,,1,177.0,177.0,177.0,177.0,7.46,,0.0,0.0,,6.12,106.0,0.877,0.0,0.061,,21.24,2.0,5.95,0.0,5.95,2.0,0.201,0.118,1.77,,0.168,5.0,0.77,80.7,,33.8,5.95,,39.0,3.97,60.0,236.0,310.0,574.0,1.02,0.243,,,,55.6
absinthe,Absinthe,Other,,,1,900.0,900.0,900.0,900.0,0.0,,0.0,0.0,,100.0,0.0,15.52,0.0,0.0,,0.0,0.0,20.88,0.0,20.88,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.3,,26.0,20.88,,1.0,0.56,0.0,0.0,1.0,2.0,0.0,0.0,,,,0.0
acacia,Acacia,Other,,,1,142.0,142.0,142.0,142.0,0.0,,0.0,0.0,,3.01,74.0,0.923,0.0,0.0,,26.88,0.0,0.34,0.0,0.34,0.0,0.089,0.605,3.919,,0.0,5.0,1.18,105.6,,1.2,0.34,,17.0,3.7,0.0,199.0,402.0,392.0,5.23,0.301,,,,11.7
acai,Acai,Other,,,1,62.0,62.0,62.0,62.0,12.83,,1.2,11.1,,0.83,0.0,0.0,0.0,0.0,,0.83,485.0,11.11,0.0,11.11,42.1,0.03,0.04,9.06,,1.1,4.0,3.4,0.0,,16.7,11.11,,19.0,0.16,11.0,13.0,130.0,13.0,0.11,0.076,,,,0.0
acerola,Acerola,Other,,,2,23.0,23.0,23.0,23.0,4.8,,0.3,4.5,,0.3,0.0,0.068,0.0,0.0,,0.4,25.0,0.18,,0.18,1600.0,0.02,0.06,0.4,0.205,0.004,14.0,0.0,,,1.4,0.18,,10.0,0.5,12.0,9.0,97.0,3.0,0.1,0.086,,,,0.1
achiote_paste,Achiote Paste,Other,,,4,294.25,294.25,294.25,294.25,72.3075,,3.1499999999999995,64.78,,0.0675,0.0,0.003,0.0,0.0,,0.025,4.0,0.16,0.0,0.16,34.13333333333333,0.008,0.017,0.126,,0.027,2.0,0.0,1.2,,0.6,0.16,,26.5,0.09,2.0,3.0,113.0,13.0,0.06,0.028,,,,0.6
acorn,Acorn,Other,,,1,95.0,95.0,95.0,95.0,9.22,,0.7,0.34,,3.47,20.0,1.28,0.0,0.0,,6.81,0.0,0.3,,0.3,0.0,0.175,0.125,2.14,0.212,0.055,33.0,0.68,,0.9,0.0,0.3,,14.0,1.0,12.0,62.0,110.0,130.0,1.6,0.03,,0.14,,8.3
acorn_squash,Acorn Squash,Other,,,3,42.27597195666029,42.27597195666029,42.27597195666029,42.27597195666029,10.476666666666668,,1.4,2.35,,0.0666666666666666,0.0,0.014,,,,0.9266666666666667,18.0,,0.0,,11.0,0.14,0.01,0.7,0.4,0.154,17.0,0.0,,,,,,33.0,0.6966666666666667,32.0,36.0,345.3333333333333,2.0,0.13,0.065,,0.167,,0.5
activated_charcoal_powder,Activated Charcoal Powder,Other,,,1,250.0,250.0,250.0,250.0,79.65,,44.5,,,0.47,,0.244,0.0,0.0,0.098,3.69,,,,,173.2,0.03,0.074,19.983,,2.414,43.0,,,,,,,342.0,8.42,158.0,47.0,2189.0,10.0,0.92,,,,,0.0
adjika,Adjika,Other,,,1,67.0,67.0,67.0,67.0,6.67,,0.0,6.67,,0.0,0.0,0.0,,,,0.0,,,,,80.0,,,,,,,,,,,,,,4.8,,,,667.0,,,,,,
adobo_sauce,Adobo Sauce,Other,,,2,176.5,176.5,176.5,176.5,8.5,,0.3,0.03,,7.800000000000001,73.5,2.5295,0.0,0.0,,17.29,4.0,0.205,0.35,0.205,0.0,0.217,0.2085,3.324,,0.2329999999999999,12.0,0.435,58.150000000000006,,0.0,0.205,,16.5,1.165,19.5,155.0,208.0,516.0,2.465,0.0905,,,,23.85
adobo_seasoning,Adobo Seasoning,Other,,,5,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,,0.0,0.0,0.0,,,,0.0,,,,,120.0,,,,,,,,,,,,,,18.0,,,100.0,22266.6,,,,,,
advocaat,Advocaat,Other,,,1,,,,,,,,,,23.58,75.2,13.55,,,,,,,,,,,,,,,,,,,,,,565.0,0.0,24.4,369.0,108.0,754.0,2.75,0.0,23.83,0.0,,
agar,Agar,Other,,,1,26.0,26.0,26.0,26.0,6.75,,0.5,0.28,,0.03,0.0,0.006,0.0,0.008,,0.54,0.0,0.87,0.0,0.87,0.0,0.005,0.022,0.055,0.302,0.032,85.0,0.0,6.0,,2.3,0.87,,54.0,1.86,67.0,5.0,226.0,9.0,0.58,0.061,,0.373,,0.7
agati_flower,Agati Flower,Other,,,1,27.007648183556405,27.007648183556405,27.007648183556405,27.007648183556405,6.73,,,,,0.04,0.0,,,,,1.28,0.0,,0.0,,73.0,0.083,0.081,0.43,,,102.0,0.0,,,,,,19.0,0.84,12.0,30.0,184.0,15.0,,,,,,0.9
agave_syrup,Agave Syrup,Other,,,5,308.0,308.0,308.0,308.0,76.394,,0.15,69.486,,0.27,0.0,0.0,0.0,0.0,,0.054,8.0,0.98,0.0,0.98,17.0,0.122,0.165,0.689,,0.234,30.0,0.0,13.300000000000002,,22.5,0.98,,1.0,0.09,1.0,1.0,4.0,2.4,0.01,0.009,,0.005,,1.7
aguardiente,Aguardiente,Other,,,1,95.0,95.0,95.0,95.0,13.73,,1.1,1.16,,3.29,0.0,0.461,0.0,0.0,,2.54,4.0,0.86,0.0,0.86,1.9,0.112,0.065,0.87,,0.043,31.0,0.0,5.4,,3.4,0.86,,8.0,0.77,11.0,30.0,89.0,267.0,0.26,0.086,,,,10.3
aji_amarillo,Aji Amarillo,Other,,,1,299.0,299.0,299.0,299.0,46.13,,9.7,2.93,,9.2,0.0,3.311,0.0,0.0,,7.85,0.0,0.55,0.0,0.55,0.0,0.36,0.18,4.61,,0.28,38.0,0.0,7.8,,3.3,0.55,,36.0,2.2,56.0,158.0,196.0,298.0,1.54,0.229,,,,26.6
aji_panca,Aji Panca,Other,,,1,180.0,180.0,180.0,180.0,40.0,,20.0,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1860.0,,,,,,
ajvar,Ajvar,Other,,,1,67.0,67.0,67.0,67.0,13.33,,0.0,6.67,,3.33,0.0,0.0,,,,0.0,,,,,40.0,,,,,,,,,,,,,,,,,,467.0,,,,,,
ajwain,Ajwain,Other,,,1,178.0,178.0,178.0,178.0,28.24,,0.0,28.1,,4.94,112.0,2.241,0.0,0.0,,5.23,65.0,0.31,1.3,0.31,0.4,0.026,0.203,0.061,,0.027,15.0,0.23,74.3,,0.2,0.31,,95.0,0.49,11.0,110.0,129.0,163.0,0.56,0.01,,,,8.6
